Cidade;Cursos;Disputa;Nota;Sigla
Paraíba, Brasil;Letras Port Francês;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Letras Português;Ampla concor.;587,8;UFPB
Paraíba, Brasil;Letras Português;Cota racial;572,26;UFPB
Paraíba, Brasil;Letras Português;Cota racial 1,5 salário mínimo e meio;574,2;UFPB
Paraíba, Brasil;Letras Português;Esc. Pública 1,5 salário mínimo e meio;574,66;UFPB
Paraíba, Brasil;Letras Português;Escola Pública;617,52;UFPB
Paraíba, Brasil;Letras Português;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Letras Português;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Letras Português;PNE racial;0;UFPB
Paraíba, Brasil;Letras Português;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Matemática;Ampla concor.;646,76;UFPB
Paraíba, Brasil;Matemática;Ampla concor.;594,2;UFPB
Paraíba, Brasil;Matemática;Ampla concor.;593,1;UFPB
Paraíba, Brasil;Matemática;Cota racial;601,02;UFPB
Paraíba, Brasil;Matemática;Cota racial;578,32;UFPB
Paraíba, Brasil;Matemática;Cota racial;512,58;UFPB
Paraíba, Brasil;Matemática;Cota racial 1,5 salário mínimo e meio;575,3;UFPB
Paraíba, Brasil;Matemática;Cota racial 1,5 salário mínimo e meio;571,7;UFPB
Paraíba, Brasil;Matemática;Cota racial 1,5 salário mínimo e meio;529,3;UFPB
Paraíba, Brasil;Matemática;Esc. Pública 1,5 salário mínimo e meio;576,74;UFPB
Paraíba, Brasil;Matemática;Esc. Pública 1,5 salário mínimo e meio;559,02;UFPB
Paraíba, Brasil;Matemática;Esc. Pública 1,5 salário mínimo e meio;540,9;UFPB
Paraíba, Brasil;Matemática;Escola Pública;576,08;UFPB
Paraíba, Brasil;Matemática;Escola Pública;562,6;UFPB
Paraíba, Brasil;Matemática;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Matemática;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Matemática;PNE Esc. Pública;417,58;UFPB
Paraíba, Brasil;Matemática;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Matemática;PNE racial;0;UFPB
Paraíba, Brasil;Matemática;PNE racial;0;UFPB
Paraíba, Brasil;Matemática;PNE racial;0;UFPB
Paraíba, Brasil;Matemática;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Matemática;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Matemática;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Medicina;Ampla concor.;797,76;UFPB
Paraíba, Brasil;Medicina;Cota racial;750,38;UFPB
Paraíba, Brasil;Medicina;Cota racial 1,5 salário mínimo e meio;744,46;UFPB
Paraíba, Brasil;Medicina;Esc. Pública 1,5 salário mínimo e meio;768,52;UFPB
Paraíba, Brasil;Medicina;Escola Pública;784,5;UFPB
Paraíba, Brasil;Medicina;PNE 1,5 salário mínimo e meio;719,56;UFPB
Paraíba, Brasil;Medicina;PNE Esc. Pública;729,02;UFPB
Paraíba, Brasil;Medicina;PNE racial;707,12;UFPB
Paraíba, Brasil;Medicina;PNE racial 1,5 salário mínimo e meio;689,94;UFPB
Paraíba, Brasil;Meteorologia;Ampla concor.;531,4;UFPB
Paraíba, Brasil;Meteorologia;Cota racial;520,08;UFPB
Paraíba, Brasil;Meteorologia;Cota racial 1,5 salário mínimo e meio;536,7;UFPB
Paraíba, Brasil;Meteorologia;Esc. Pública 1,5 salário mínimo e meio;553,58;UFPB
Paraíba, Brasil;Meteorologia;Escola Pública;554,08;UFPB
Paraíba, Brasil;Meteorologia;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Meteorologia;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Meteorologia;PNE racial;0;UFPB
Paraíba, Brasil;Meteorologia;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Pedagogia;Ampla concor.;572,7;UFPB
Paraíba, Brasil;Pedagogia;Cota racial;566,64;UFPB
Paraíba, Brasil;Pedagogia;Cota racial 1,5 salário mínimo e meio;553,88;UFPB
Paraíba, Brasil;Pedagogia;Esc. Pública 1,5 salário mínimo e meio;563,72;UFPB
Paraíba, Brasil;Pedagogia;Escola Pública;610,42;UFPB
Paraíba, Brasil;Pedagogia;PNE 1,5 salário mínimo e meio;474,12;UFPB
Paraíba, Brasil;Pedagogia;PNE Esc. Pública;533,2;UFPB
Paraíba, Brasil;Pedagogia;PNE racial;0;UFPB
Paraíba, Brasil;Pedagogia;PNE racial 1,5 salário mínimo e meio;475,06;UFPB
Paraíba, Brasil;Psicologia;Ampla concor.;700,88;UFPB
Paraíba, Brasil;Psicologia;Cota racial;656,9;UFPB
Paraíba, Brasil;Psicologia;Cota racial 1,5 salário mínimo e meio;656,7;UFPB
Paraíba, Brasil;Psicologia;Esc. Pública 1,5 salário mínimo e meio;671,2;UFPB
Paraíba, Brasil;Psicologia;Escola Pública;687,24;UFPB
Paraíba, Brasil;Psicologia;PNE 1,5 salário mínimo e meio;522,14;UFPB
Paraíba, Brasil;Psicologia;PNE Esc. Pública;619,64;UFPB
Paraíba, Brasil;Psicologia;PNE racial;513,66;UFPB
Paraíba, Brasil;Psicologia;PNE racial 1,5 salário mínimo e meio;552,94;UFPB
Paraíba, Brasil;Ciências Biológicas;Ampla concor.;553,34;UFPB
Paraíba, Brasil;Ciências Biológicas;Ampla concor.;549,14;UFPB
Paraíba, Brasil;Ciências Biológicas;Cota racial;541,92;UFPB
Paraíba, Brasil;Ciências Biológicas;Cota racial;533,98;UFPB
Paraíba, Brasil;Ciências Biológicas;Cota racial 1,5 salário mínimo e meio;550,12;UFPB
Paraíba, Brasil;Ciências Biológicas;Cota racial 1,5 salário mínimo e meio;537,68;UFPB
Paraíba, Brasil;Ciências Biológicas;Esc. Pública 1,5 salário mínimo e meio;565,7;UFPB
Paraíba, Brasil;Ciências Biológicas;Esc. Pública 1,5 salário mínimo e meio;555,32;UFPB
Paraíba, Brasil;Ciências Biológicas;Escola Pública;553,28;UFPB
Paraíba, Brasil;Ciências Biológicas;Escola Pública;545,2;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE racial;0;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE racial;0;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Enfermagem;Ampla concor.;671;UFPB
Paraíba, Brasil;Enfermagem;Cota racial;630,72;UFPB
Paraíba, Brasil;Enfermagem;Cota racial 1,5 salário mínimo e meio;628,06;UFPB
Paraíba, Brasil;Enfermagem;Esc. Pública 1,5 salário mínimo e meio;661,06;UFPB
Paraíba, Brasil;Enfermagem;Escola Pública;639,38;UFPB
Paraíba, Brasil;Enfermagem;PNE 1,5 salário mínimo e meio;492,44;UFPB
Paraíba, Brasil;Enfermagem;PNE Esc. Pública;433,92;UFPB
Paraíba, Brasil;Enfermagem;PNE racial;552,4;UFPB
Paraíba, Brasil;Enfermagem;PNE racial 1,5 salário mínimo e meio;580,82;UFPB
Paraíba, Brasil;Farmácia;Ampla concor.;656,3;UFPB
Paraíba, Brasil;Farmácia;Cota racial;615,64;UFPB
Paraíba, Brasil;Farmácia;Cota racial 1,5 salário mínimo e meio;614,64;UFPB
Paraíba, Brasil;Farmácia;Esc. Pública 1,5 salário mínimo e meio;644,8;UFPB
Paraíba, Brasil;Farmácia;Escola Pública;644,9;UFPB
Paraíba, Brasil;Farmácia;PNE 1,5 salário mínimo e meio;495,2;UFPB
Paraíba, Brasil;Farmácia;PNE Esc. Pública;461,66;UFPB
Paraíba, Brasil;Farmácia;PNE racial;428,4;UFPB
Paraíba, Brasil;Farmácia;PNE racial 1,5 salário mínimo e meio;466,84;UFPB
Paraíba, Brasil;Física;Ampla concor.;505,54;UFPB
Paraíba, Brasil;Física;Ampla concor.;502,14;UFPB
Paraíba, Brasil;Física;Cota racial;493,96;UFPB
Paraíba, Brasil;Física;Cota racial;477,38;UFPB
Paraíba, Brasil;Física;Cota racial 1,5 salário mínimo e meio;496,46;UFPB
Paraíba, Brasil;Física;Cota racial 1,5 salário mínimo e meio;479;UFPB
Paraíba, Brasil;Física;Esc. Pública 1,5 salário mínimo e meio;503,76;UFPB
Paraíba, Brasil;Física;Esc. Pública 1,5 salário mínimo e meio;484,68;UFPB
Paraíba, Brasil;Física;Escola Pública;516,98;UFPB
Paraíba, Brasil;Física;Escola Pública;504,8;UFPB
Paraíba, Brasil;Física;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Física;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Física;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Física;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Física;PNE racial;0;UFPB
Paraíba, Brasil;Física;PNE racial;0;UFPB
Paraíba, Brasil;Física;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Física;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Matemática;Ampla concor.;523,36;UFPB
Paraíba, Brasil;Matemática;Ampla concor.;495,3;UFPB
Paraíba, Brasil;Matemática;Cota racial;491,26;UFPB
Paraíba, Brasil;Matemática;Cota racial;488,2;UFPB
Paraíba, Brasil;Matemática;Cota racial 1,5 salário mínimo e meio;508,16;UFPB
Paraíba, Brasil;Matemática;Cota racial 1,5 salário mínimo e meio;507,04;UFPB
Paraíba, Brasil;Matemática;Esc. Pública 1,5 salário mínimo e meio;582,9;UFPB
Paraíba, Brasil;Matemática;Esc. Pública 1,5 salário mínimo e meio;493,46;UFPB
Paraíba, Brasil;Matemática;Escola Pública;529,46;UFPB
Paraíba, Brasil;Matemática;Escola Pública;499,5;UFPB
Paraíba, Brasil;Matemática;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Matemática;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Matemática;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Matemática;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Matemática;PNE racial;0;UFPB
Paraíba, Brasil;Matemática;PNE racial;0;UFPB
Paraíba, Brasil;Matemática;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Matemática;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Nutrição;Ampla concor.;658,8;UFPB
Paraíba, Brasil;Nutrição;Cota racial;611,74;UFPB
Paraíba, Brasil;Nutrição;Cota racial 1,5 salário mínimo e meio;601,76;UFPB
Paraíba, Brasil;Nutrição;Esc. Pública 1,5 salário mínimo e meio;637,16;UFPB
Paraíba, Brasil;Nutrição;Escola Pública;641,48;UFPB
Paraíba, Brasil;Nutrição;PNE 1,5 salário mínimo e meio;425,12;UFPB
Paraíba, Brasil;Nutrição;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Nutrição;PNE racial;0;UFPB
Paraíba, Brasil;Nutrição;PNE racial 1,5 salário mínimo e meio;446,9;UFPB
Paraíba, Brasil;Química;Ampla concor.;518,24;UFPB
Paraíba, Brasil;Química;Ampla concor.;513,22;UFPB
Paraíba, Brasil;Química;Cota racial;489,16;UFPB
Paraíba, Brasil;Química;Cota racial;488,64;UFPB
Paraíba, Brasil;Química;Cota racial 1,5 salário mínimo e meio;516,98;UFPB
Paraíba, Brasil;Química;Cota racial 1,5 salário mínimo e meio;499,48;UFPB
Paraíba, Brasil;Química;Esc. Pública 1,5 salário mínimo e meio;531,42;UFPB
Paraíba, Brasil;Química;Esc. Pública 1,5 salário mínimo e meio;523,34;UFPB
Paraíba, Brasil;Química;Escola Pública;584,98;UFPB
Paraíba, Brasil;Química;Escola Pública;497,04;UFPB
Paraíba, Brasil;Química;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Química;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Química;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Química;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Química;PNE racial;0;UFPB
Paraíba, Brasil;Química;PNE racial;0;UFPB
Paraíba, Brasil;Química;PNE racial 1,5 salário mínimo e meio;400,16;UFPB
Paraíba, Brasil;Química;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Ciências Biológicas;Ampla concor.;593,04;UFPB
Paraíba, Brasil;Ciências Biológicas;Cota racial;564,68;UFPB
Paraíba, Brasil;Ciências Biológicas;Cota racial 1,5 salário mínimo e meio;586,6;UFPB
Paraíba, Brasil;Ciências Biológicas;Esc. Pública 1,5 salário mínimo e meio;601,42;UFPB
Paraíba, Brasil;Ciências Biológicas;Escola Pública;581,78;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE 1,5 salário mínimo e meio;520,32;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE Esc. Pública;428,68;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE racial;0;UFPB
Paraíba, Brasil;Ciências Biológicas;PNE racial 1,5 salário mínimo e meio;433,28;UFPB
Paraíba, Brasil;Eng Florestal;Ampla concor.;558,08;UFPB
Paraíba, Brasil;Eng Florestal;Cota racial;553,54;UFPB
Paraíba, Brasil;Eng Florestal;Cota racial 1,5 salário mínimo e meio;554,52;UFPB
Paraíba, Brasil;Eng Florestal;Esc. Pública 1,5 salário mínimo e meio;577,92;UFPB
Paraíba, Brasil;Eng Florestal;Escola Pública;564,64;UFPB
Paraíba, Brasil;Eng Florestal;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Eng Florestal;PNE Esc. Pública;417,58;UFPB
Paraíba, Brasil;Eng Florestal;PNE racial;0;UFPB
Paraíba, Brasil;Eng Florestal;PNE racial 1,5 salário mínimo e meio;437,2;UFPB
Paraíba, Brasil;Medicina Veterinária;Ampla concor.;689,1;UFPB
Paraíba, Brasil;Medicina Veterinária;Cota racial;654,44;UFPB
Paraíba, Brasil;Medicina Veterinária;Cota racial 1,5 salário mínimo e meio;632,58;UFPB
Paraíba, Brasil;Medicina Veterinária;Esc. Pública 1,5 salário mínimo e meio;674,4;UFPB
Paraíba, Brasil;Medicina Veterinária;Escola Pública;642,1;UFPB
Paraíba, Brasil;Medicina Veterinária;PNE 1,5 salário mínimo e meio;614,32;UFPB
Paraíba, Brasil;Medicina Veterinária;PNE Esc. Pública;620,98;UFPB
Paraíba, Brasil;Medicina Veterinária;PNE racial;475,18;UFPB
Paraíba, Brasil;Medicina Veterinária;PNE racial 1,5 salário mínimo e meio;481,4;UFPB
Paraíba, Brasil;Odontologia;Ampla concor.;728,06;UFPB
Paraíba, Brasil;Odontologia;Cota racial;683;UFPB
Paraíba, Brasil;Odontologia;Cota racial 1,5 salário mínimo e meio;686,46;UFPB
Paraíba, Brasil;Odontologia;Esc. Pública 1,5 salário mínimo e meio;702,82;UFPB
Paraíba, Brasil;Odontologia;Escola Pública;713,22;UFPB
Paraíba, Brasil;Odontologia;PNE 1,5 salário mínimo e meio;554,86;UFPB
Paraíba, Brasil;Odontologia;PNE Esc. Pública;624,32;UFPB
Paraíba, Brasil;Odontologia;PNE racial;576,08;UFPB
Paraíba, Brasil;Odontologia;PNE racial 1,5 salário mínimo e meio;517,78;UFPB
Paraíba, Brasil;Agronomia;Ampla concor.;557,42;UFPB
Paraíba, Brasil;Agronomia;Cota racial;538,12;UFPB
Paraíba, Brasil;Agronomia;Cota racial 1,5 salário mínimo e meio;550,94;UFPB
Paraíba, Brasil;Agronomia;Esc. Pública 1,5 salário mínimo e meio;549,68;UFPB
Paraíba, Brasil;Agronomia;Escola Pública;548,8;UFPB
Paraíba, Brasil;Agronomia;PNE 1,5 salário mínimo e meio;489,6;UFPB
Paraíba, Brasil;Agronomia;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Agronomia;PNE racial;0;UFPB
Paraíba, Brasil;Agronomia;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Eng Ambiental;Ampla concor.;576,92;UFPB
Paraíba, Brasil;Eng Ambiental;Cota racial;541,96;UFPB
Paraíba, Brasil;Eng Ambiental;Cota racial 1,5 salário mínimo e meio;544,52;UFPB
Paraíba, Brasil;Eng Ambiental;Esc. Pública 1,5 salário mínimo e meio;586,34;UFPB
Paraíba, Brasil;Eng Ambiental;Escola Pública;511,8;UFPB
Paraíba, Brasil;Eng Ambiental;PNE 1,5 salário mínimo e meio;448,66;UFPB
Paraíba, Brasil;Eng Ambiental;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Eng Ambiental;PNE racial;0;UFPB
Paraíba, Brasil;Eng Ambiental;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Eng de Alimentos;Ampla concor.;550,64;UFPB
Paraíba, Brasil;Eng de Alimentos;Cota racial;526,24;UFPB
Paraíba, Brasil;Eng de Alimentos;Cota racial 1,5 salário mínimo e meio;535,12;UFPB
Paraíba, Brasil;Eng de Alimentos;Esc. Pública 1,5 salário mínimo e meio;525,34;UFPB
Paraíba, Brasil;Eng de Alimentos;Escola Pública;557,62;UFPB
Paraíba, Brasil;Eng de Alimentos;PNE 1,5 salário mínimo e meio;504,54;UFPB
Paraíba, Brasil;Eng de Alimentos;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Eng de Alimentos;PNE racial;0;UFPB
Paraíba, Brasil;Eng de Alimentos;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Engenharia Civil;Ampla concor.;636,74;UFPB
Paraíba, Brasil;Engenharia Civil;Cota racial;590,98;UFPB
Paraíba, Brasil;Engenharia Civil;Cota racial 1,5 salário mínimo e meio;604;UFPB
Paraíba, Brasil;Engenharia Civil;Esc. Pública 1,5 salário mínimo e meio;614,86;UFPB
Paraíba, Brasil;Engenharia Civil;Escola Pública;635,7;UFPB
Paraíba, Brasil;Engenharia Civil;PNE 1,5 salário mínimo e meio;509,46;UFPB
Paraíba, Brasil;Engenharia Civil;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Engenharia Civil;PNE racial;0;UFPB
Paraíba, Brasil;Engenharia Civil;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Administração;Ampla concor.;586,1;UFPB
Paraíba, Brasil;Administração;Ampla concor.;578,08;UFPB
Paraíba, Brasil;Administração;Cota racial;583,14;UFPB
Paraíba, Brasil;Administração;Cota racial;572,78;UFPB
Paraíba, Brasil;Administração;Cota racial 1,5 salário mínimo e meio;569,06;UFPB
Paraíba, Brasil;Administração;Cota racial 1,5 salário mínimo e meio;562,04;UFPB
Paraíba, Brasil;Administração;Esc. Pública 1,5 salário mínimo e meio;585,08;UFPB
Paraíba, Brasil;Administração;Esc. Pública 1,5 salário mínimo e meio;576,8;UFPB
Paraíba, Brasil;Administração;Escola Pública;577,38;UFPB
Paraíba, Brasil;Administração;Escola Pública;572,12;UFPB
Paraíba, Brasil;Administração;PNE 1,5 salário mínimo e meio;484,44;UFPB
Paraíba, Brasil;Administração;PNE 1,5 salário mínimo e meio;414,56;UFPB
Paraíba, Brasil;Administração;PNE Esc. Pública;484,18;UFPB
Paraíba, Brasil;Administração;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Administração;PNE racial;0;UFPB
Paraíba, Brasil;Administração;PNE racial;0;UFPB
Paraíba, Brasil;Administração;PNE racial 1,5 salário mínimo e meio;450,34;UFPB
Paraíba, Brasil;Administração;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Direito;Ampla concor.;690,92;UFPB
Paraíba, Brasil;Direito;Ampla concor.;689,38;UFPB
Paraíba, Brasil;Direito;Ampla concor.;685,74;UFPB
Paraíba, Brasil;Direito;Cota racial;659,3;UFPB
Paraíba, Brasil;Direito;Cota racial;651,4;UFPB
Paraíba, Brasil;Direito;Cota racial;639,68;UFPB
Paraíba, Brasil;Direito;Cota racial 1,5 salário mínimo e meio;644,78;UFPB
Paraíba, Brasil;Direito;Cota racial 1,5 salário mínimo e meio;630,28;UFPB
Paraíba, Brasil;Direito;Cota racial 1,5 salário mínimo e meio;629,28;UFPB
Paraíba, Brasil;Direito;Esc. Pública 1,5 salário mínimo e meio;687,72;UFPB
Paraíba, Brasil;Direito;Esc. Pública 1,5 salário mínimo e meio;671,42;UFPB
Paraíba, Brasil;Direito;Esc. Pública 1,5 salário mínimo e meio;665,74;UFPB
Paraíba, Brasil;Direito;Escola Pública;676,28;UFPB
Paraíba, Brasil;Direito;Escola Pública;673,04;UFPB
Paraíba, Brasil;Direito;Escola Pública;664;UFPB
Paraíba, Brasil;Direito;PNE 1,5 salário mínimo e meio;533,68;UFPB
Paraíba, Brasil;Direito;PNE 1,5 salário mínimo e meio;515,32;UFPB
Paraíba, Brasil;Direito;PNE 1,5 salário mínimo e meio;510,82;UFPB
Paraíba, Brasil;Direito;PNE Esc. Pública;606,7;UFPB
Paraíba, Brasil;Direito;PNE Esc. Pública;575,62;UFPB
Paraíba, Brasil;Direito;PNE Esc. Pública;497,48;UFPB
Paraíba, Brasil;Direito;PNE racial;510,96;UFPB
Paraíba, Brasil;Direito;PNE racial;488,62;UFPB
Paraíba, Brasil;Direito;PNE racial;447,48;UFPB
Paraíba, Brasil;Direito;PNE racial 1,5 salário mínimo e meio;566,64;UFPB
Paraíba, Brasil;Direito;PNE racial 1,5 salário mínimo e meio;500,98;UFPB
Paraíba, Brasil;Direito;PNE racial 1,5 salário mínimo e meio;453,7;UFPB
Paraíba, Brasil;Serviço Social;Ampla concor.;552,88;UFPB
Paraíba, Brasil;Serviço Social;Cota racial;548,52;UFPB
Paraíba, Brasil;Serviço Social;Cota racial 1,5 salário mínimo e meio;551,48;UFPB
Paraíba, Brasil;Serviço Social;Esc. Pública 1,5 salário mínimo e meio;562,72;UFPB
Paraíba, Brasil;Serviço Social;Escola Pública;547,38;UFPB
Paraíba, Brasil;Serviço Social;PNE 1,5 salário mínimo e meio;495,1;UFPB
Paraíba, Brasil;Serviço Social;PNE Esc. Pública;480,34;UFPB
Paraíba, Brasil;Serviço Social;PNE racial;0;UFPB
Paraíba, Brasil;Serviço Social;PNE racial 1,5 salário mínimo e meio;494,76;UFPB
Paraíba, Brasil;Agroecologia;Ampla concor.;486,48;UFPB
Paraíba, Brasil;Agroecologia;Cota racial;492,9;UFPB
Paraíba, Brasil;Agroecologia;Cota racial 1,5 salário mínimo e meio;485,74;UFPB
Paraíba, Brasil;Agroecologia;Esc. Pública 1,5 salário mínimo e meio;494,68;UFPB
Paraíba, Brasil;Agroecologia;Escola Pública;496,4;UFPB
Paraíba, Brasil;Agroecologia;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Agroecologia;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Agroecologia;PNE racial;0;UFPB
Paraíba, Brasil;Agroecologia;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Ciências Sociais;Ampla concor.;518,28;UFPB
Paraíba, Brasil;Ciências Sociais;Cota racial;502,42;UFPB
Paraíba, Brasil;Ciências Sociais;Cota racial 1,5 salário mínimo e meio;506,48;UFPB
Paraíba, Brasil;Ciências Sociais;Esc. Pública 1,5 salário mínimo e meio;510,4;UFPB
Paraíba, Brasil;Ciências Sociais;Escola Pública;514,14;UFPB
Paraíba, Brasil;Ciências Sociais;PNE 1,5 salário mínimo e meio;435,62;UFPB
Paraíba, Brasil;Ciências Sociais;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Ciências Sociais;PNE racial;0;UFPB
Paraíba, Brasil;Ciências Sociais;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Eng Biotec e Bioprocessos;Ampla concor.;567,52;UFPB
Paraíba, Brasil;Eng Biotec e Bioprocessos;Cota racial;513,44;UFPB
Paraíba, Brasil;Eng Biotec e Bioprocessos;Cota racial 1,5 salário mínimo e meio;516,24;UFPB
Paraíba, Brasil;Eng Biotec e Bioprocessos;Esc. Pública 1,5 salário mínimo e meio;527,58;UFPB
Paraíba, Brasil;Eng Biotec e Bioprocessos;Escola Pública;549,58;UFPB
Paraíba, Brasil;Eng Biotec e Bioprocessos;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Eng Biotec e Bioprocessos;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Eng Biotec e Bioprocessos;PNE racial;0;UFPB
Paraíba, Brasil;Eng Biotec e Bioprocessos;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Eng de Biossistemas;Ampla concor.;535,18;UFPB
Paraíba, Brasil;Eng de Biossistemas;Cota racial;505,82;UFPB
Paraíba, Brasil;Eng de Biossistemas;Cota racial 1,5 salário mínimo e meio;505,86;UFPB
Paraíba, Brasil;Eng de Biossistemas;Esc. Pública 1,5 salário mínimo e meio;517,2;UFPB
Paraíba, Brasil;Eng de Biossistemas;Escola Pública;540,08;UFPB
Paraíba, Brasil;Eng de Biossistemas;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Eng de Biossistemas;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Eng de Biossistemas;PNE racial;0;UFPB
Paraíba, Brasil;Eng de Biossistemas;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Eng de Produção;Ampla concor.;588,14;UFPB
Paraíba, Brasil;Eng de Produção;Cota racial;551,16;UFPB
Paraíba, Brasil;Eng de Produção;Cota racial 1,5 salário mínimo e meio;545,56;UFPB
Paraíba, Brasil;Eng de Produção;Esc. Pública 1,5 salário mínimo e meio;528,78;UFPB
Paraíba, Brasil;Eng de Produção;Escola Pública;581,06;UFPB
Paraíba, Brasil;Eng de Produção;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Eng de Produção;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Eng de Produção;PNE racial;0;UFPB
Paraíba, Brasil;Eng de Produção;PNE racial 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Gestão Pública;Ampla concor.;527,26;UFPB
Paraíba, Brasil;Gestão Pública;Cota racial;511,74;UFPB
Paraíba, Brasil;Gestão Pública;Cota racial 1,5 salário mínimo e meio;506,58;UFPB
Paraíba, Brasil;Gestão Pública;Esc. Pública 1,5 salário mínimo e meio;531,9;UFPB
Paraíba, Brasil;Gestão Pública;Escola Pública;538,66;UFPB
Paraíba, Brasil;Gestão Pública;PNE 1,5 salário mínimo e meio;0;UFPB
Paraíba, Brasil;Gestão Pública;PNE Esc. Pública;0;UFPB
Paraíba, Brasil;Gestão Pública;PNE racial;0;UFPB
Paraíba, Brasil;Gestão Pública;PNE racial 1,5 salário mínimo e meio;0;UFPB
Espirito Santo, Brasil;Agronomia;Ampla concor.;629,82;UFES
Espirito Santo, Brasil;Agronomia;Cota racial;580,3;UFES
Espirito Santo, Brasil;Agronomia;Cota racial 1,5 salário mínimo;597,94;UFES
Espirito Santo, Brasil;Agronomia;Esc. Pública 1,5 salário mínimo;585,96;UFES
Espirito Santo, Brasil;Agronomia;Escola Pública;623,81;UFES
Espirito Santo, Brasil;Agronomia;PNE racial 1,5 salário mínimo;462,24;UFES
